latitud,longitud,victimas,genero,franja_horaria,fecha
-34.68757022,-58.47533969,1.0,1,4,2016-01-01
-34.66977709,-58.50877521,1.0,1,1,2016-01-02
-34.63189362,-58.39040293,1.0,1,7,2016-01-03
-34.68092974,-58.46503904,1.0,1,0,2016-01-10
-34.62246630,-58.38718297,1.0,1,5,2016-01-21
-34.68475866,-58.44451316,1.0,1,18,2016-01-24
-34.60825440,-58.50095869,1.0,1,19,2016-01-24
-34.66977709,-58.50877521,1.0,1,15,2016-01-29
-34.61303893,-58.38048577,1.0,1,1,2016-02-08
-34.62477387,-58.39114932,1.0,1,11,2016-02-10
-34.59912758,-58.43760020,1.0,0,5,2016-02-14
-34.64291993,-58.36882665,1.0,0,22,2016-02-14
-34.65970435,-58.44989671,1.0,1,16,2016-02-15
-34.65468721,-58.50990884,1.0,0,9,2016-02-17
-34.60653282,-58.37952223,1.0,1,16,2016-02-17
-34.63063795,-58.45157703,1.0,1,23,2016-02-17
-34.61079875,-58.38144696,1.0,1,6,2016-02-21
-34.70524971,-58.46244952,1.0,1,4,2016-02-28
-34.54738649,-58.49216191,1.0,1,7,2016-02-28
-34.63852623,-58.44497874,1.0,1,9,2016-02-28
-34.60028648,-58.38199706,1.0,1,10,2016-03-02
-34.54153077,-58.47378664,1.0,1,17,2016-03-04
-34.69843756,-58.47064556,1.0,1,12,2016-03-08
-34.65076549,-58.40623949,1.0,1,12,2016-03-12
-34.60443527,-58.39228965,1.0,1,6,2016-03-13
-34.63668504,-58.37813396,1.0,1,0,2016-03-14
-34.64358293,-58.46275892,1.0,1,11,2016-03-19
-34.67892743,-58.49683458,1.0,1,8,2016-03-21
-34.60883960,-58.40603217,1.0,1,1,2016-03-23
-34.63350444,-58.46076550,2.0,1,11,2016-03-29
-34.63350444,-58.46076550,2.0,1,11,2016-03-29
-34.67494416,-58.47832463,1.0,0,18,2016-03-30
-34.63693953,-58.43213235,1.0,1,19,2016-03-31
-34.53476874,-58.46743471,1.0,1,10,2016-04-11
-34.62571878,-58.38247061,1.0,1,5,2016-04-15
-34.59170240,-58.44759966,1.0,0,17,2016-04-15
-34.63657525428238,-58.37714647568196,1.0,1,0,2016-04-17
-34.68550712,-58.47305463,1.0,1,9,2016-04-19
-34.65076549,-58.40623949,1.0,1,4,2016-04-20
.,.,1.0,1,20,2016-04-20
-34.57558053,-58.48429180,1.0,1,9,2016-04-22
-34.68795245,-58.48695354,1.0,1,21,2016-04-23
-34.57964781,-58.40021959,1.0,1,20,2016-04-25
-34.57660058,-58.42957885,1.0,1,4,2016-04-26
-34.62556293,-58.38247542,1.0,0,14,2016-05-04
-34.62728101,-58.38222219,1.0,1,16,2016-05-08
-34.62953445,-58.49485242,1.0,1,18,2016-05-14
-34.61068024,-58.45227946,1.0,1,14,2016-05-20
-34.67512760,-58.48455411,1.0,0,17,2016-05-21
-34.58418569,-58.39056593,1.0,1,22,2016-05-22
-34.62704273,-58.39118948,1.0,1,3,2016-05-23
-34.62025108,-58.49021952,1.0,1,15,2016-06-11
-34.67732118,-58.49896559,1.0,1,6,2016-06-12
-34.66874679,-58.47461076,1.0,1,23,2016-06-12
-34.60356211,-58.46210891,1.0,0,16,2016-06-13
-34.60536123,-58.37027770,1.0,0,21,2016-06-13
-34.61463830,-58.40491455,1.0,1,23,2016-06-13
-34.54864492,-58.45504154,1.0,0,17,2016-06-16
-34.63931752,-58.52927982,1.0,1,6,2016-06-18
-34.55904606,-58.48721060,1.0,1,7,2016-06-22
-34.64228803,-58.42273092,1.0,1,18,2016-06-27
-34.62539009,-58.44788671,1.0,0,20,2016-06-28
-34.60135531,-58.38110563,1.0,1,22,2016-06-29
-34.65734100,-58.42378834,1.0,1,22,2016-06-29
-34.63652467,-58.48727942,1.0,1,16,2016-06-30
-34.62907067,-58.37864583,1.0,1,0,2016-07-03
-34.56767549,-58.50151750,1.0,0,15,2016-07-11
-34.55185825,-58.43233425,1.0,1,6,2016-07-14
-34.61112240,-58.41971993,1.0,1,22,2016-07-14
-34.53476874,-58.46743471,1.0,1,11,2016-07-15
-34.62301748,-58.44362126,1.0,1,3,2016-07-17
-34.59546519,-58.51713095,1.0,1,6,2016-07-23
-34.66684950051973,-58.47433193007387,1.0,1,7,2016-07-25
-34.61562810,-58.39038605,1.0,1,18,2016-07-26
-34.62356174,-58.40042405,1.0,0,16,2016-07-27
-34.59798754,-58.52340614,1.0,1,16,2016-07-29
-34.54795581,-58.49491054,1.0,1,23,2016-08-03
-34.65014993,-58.52932872,1.0,1,19,2016-08-07
-34.67316502,-58.50011639,1.0,1,23,2016-08-10
-34.65624369,-58.46635001,1.0,1,21,2016-08-14
-34.58435809,-58.45343236,1.0,1,0,2016-08-17
-34.58927731,-58.38090932,1.0,1,21,2016-08-19
-34.65429986,-58.37157668,1.0,1,8,2016-08-20
-34.63659934,-58.52280139,1.0,0,5,2016-08-24
-34.65903530,-58.51232237,1.0,1,20,2016-08-24
