ID,FECHA_x,AAAA_x,MM_x,DD_x,ROL,VICTIMA_x,SEXO,EDAD,N_VICTIMAS,HH,TIPO_DE_CALLE,COMUNA,NOMBRE_COMUNA,longitud,latitud,VICTIMA_y,ACUSADO,Grupo_Etario
2016-0001,2016-01-01,2016,1,1,CONDUCTOR,MOTO,1,19,1.0,4,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.47533969,-34.68757022,MOTO,AUTO,Joven Adulto
2016-0002,2016-01-02,2016,1,2,CONDUCTOR,AUTO,1,70,1.0,1,GRAL PAZ,9,"Liniers, Mataderos y Parque Avellaneda.",-58.50877521,-34.66977709,AUTO,PASAJEROS,Anciano
2016-0003,2016-01-03,2016,1,3,CONDUCTOR,MOTO,1,30,1.0,7,AVENIDA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.39040293,-34.63189362,MOTO,AUTO,Joven Adulto
2016-0004,2016-01-10,2016,1,10,CONDUCTOR,MOTO,1,18,1.0,0,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.46503904,-34.68092974,MOTO,PASAJEROS,Joven Adulto
2016-0005,2016-01-21,2016,1,21,CONDUCTOR,MOTO,1,29,1.0,5,AVENIDA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38718297,-34.62246630,MOTO,PASAJEROS,Joven Adulto
2016-0008,2016-01-24,2016,1,24,CONDUCTOR,MOTO,1,30,1.0,18,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.44451316,-34.68475866,MOTO,OBJETO FIJO,Joven Adulto
2016-0009,2016-01-24,2016,1,24,PASAJERO_ACOMPAÑANTE,MOTO,1,29,1.0,19,CALLE,11,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita.",-58.50095869,-34.60825440,MOTO,AUTO,Joven Adulto
2016-0010,2016-01-29,2016,1,29,CONDUCTOR,MOTO,1,18,1.0,15,GRAL PAZ,9,"Liniers, Mataderos y Parque Avellaneda.",-58.50877521,-34.66977709,MOTO,AUTO,Joven Adulto
2016-0012,2016-02-08,2016,2,8,CONDUCTOR,MOTO,1,22,1.0,1,AVENIDA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38048577,-34.61303893,MOTO,CARGAS,Joven Adulto
2016-0013,2016-02-10,2016,2,10,PEATON,PEATON,1,16,1.0,11,AVENIDA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.39114932,-34.62477387,PEATON,AUTO,Adolecente
2016-0015,2016-02-14,2016,2,14,PEATON,PEATON,0,16,1.0,5,AVENIDA,15,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",-58.43760020,-34.59912758,PEATON,AUTO,Adolecente
2016-0016,2016-02-14,2016,2,14,PASAJERO_ACOMPAÑANTE,MOTO,0,19,1.0,22,AVENIDA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.36882665,-34.64291993,MOTO,AUTO,Joven Adulto
2016-0017,2016-02-15,2016,2,15,PEATON,PEATON,1,59,1.0,16,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.44989671,-34.65970435,PEATON,MOTO,Adulto Mayor
2016-0019,2016-02-17,2016,2,17,PEATON,PEATON,0,65,1.0,9,CALLE,9,"Liniers, Mataderos y Parque Avellaneda.",-58.50990884,-34.65468721,PEATON,PASAJEROS,Anciano
2016-0020,2016-02-17,2016,2,17,PEATON,PEATON,1,59,1.0,16,CALLE,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.37952223,-34.60653282,PEATON,AUTO,Adulto Mayor
2016-0021,2016-02-17,2016,2,17,CONDUCTOR,AUTO,1,34,1.0,23,AVENIDA,7,Flores y Parque Chacabuco.,-58.45157703,-34.63063795,AUTO,AUTO,Joven Adulto
2016-0022,2016-02-21,2016,2,21,PASAJERO_ACOMPAÑANTE,MOTO,1,41,1.0,6,AVENIDA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38144696,-34.61079875,MOTO,AUTO,Adulto
2016-0025,2016-02-28,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,1,34,1.0,4,GRAL PAZ,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.46244952,-34.70524971,AUTO,AUTO,Joven Adulto
2016-0026,2016-02-28,2016,2,28,CONDUCTOR,AUTO,1,30,1.0,7,CALLE,12,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",-58.49216191,-34.54738649,AUTO,OBJETO FIJO,Joven Adulto
2016-0027,2016-02-28,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,1,34,1.0,9,AVENIDA,7,Flores y Parque Chacabuco.,-58.44497874,-34.63852623,AUTO,AUTO,Joven Adulto
2016-0028,2016-03-02,2016,3,2,PEATON,PEATON,1,50,1.0,10,AVENIDA,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38199706,-34.60028648,PEATON,CARGAS,Adulto Mayor
2016-0029,2016-03-04,2016,3,4,PEATON,PEATON,1,38,1.0,17,AVENIDA,12,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",-58.47378664,-34.54153077,PEATON,PASAJEROS,Adulto
2016-0031,2016-03-08,2016,3,8,CONDUCTOR,MOTO,1,21,1.0,12,GRAL PAZ,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.47064556,-34.69843756,MOTO,PASAJEROS,Joven Adulto
2016-0034,2016-03-12,2016,3,12,PEATON,PEATON,1,52,1.0,12,AVENIDA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.40623949,-34.65076549,PEATON,PASAJEROS,Adulto Mayor
2016-0035,2016-03-13,2016,3,13,CONDUCTOR,MOTO,1,34,1.0,6,AVENIDA,3,Balvanera y San Cristóbal.,-58.39228965,-34.60443527,MOTO,PASAJEROS,Joven Adulto
2016-0036,2016-03-14,2016,3,14,PASAJERO_ACOMPAÑANTE,MOTO,1,36,1.0,0,CALLE,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.37813396,-34.63668504,MOTO,PASAJEROS,Adulto
2016-0037,2016-03-19,2016,3,19,CONDUCTOR,MOTO,1,20,1.0,11,AVENIDA,7,Flores y Parque Chacabuco.,-58.46275892,-34.64358293,MOTO,MOTO,Joven Adulto
2016-0038,2016-03-21,2016,3,21,PEATON,PEATON,1,29,1.0,8,GRAL PAZ,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.49683458,-34.67892743,PEATON,PASAJEROS,Joven Adulto
2016-0039,2016-03-23,2016,3,23,CONDUCTOR,MOTO,1,20,1.0,1,AVENIDA,3,Balvanera y San Cristóbal.,-58.40603217,-34.60883960,MOTO,PASAJEROS,Joven Adulto
2016-0041,2016-03-29,2016,3,29,CONDUCTOR,MOTO,1,54,2.0,11,AVENIDA,7,Flores y Parque Chacabuco.,-58.46076550,-34.63350444,MOTO,CARGAS,Adulto Mayor
2016-0041,2016-03-29,2016,3,29,PASAJERO_ACOMPAÑANTE,MOTO,1,42,2.0,11,AVENIDA,7,Flores y Parque Chacabuco.,-58.46076550,-34.63350444,MOTO,CARGAS,Adulto
2016-0043,2016-03-30,2016,3,30,PEATON,PEATON,0,56,1.0,18,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.47832463,-34.67494416,PEATON,CARGAS,Adulto Mayor
2016-0044,2016-03-31,2016,3,31,CONDUCTOR,MOTO,1,24,1.0,19,AVENIDA,7,Flores y Parque Chacabuco.,-58.43213235,-34.63693953,MOTO,MULTIPLE,Joven Adulto
2016-0045,2016-04-11,2016,4,11,CONDUCTOR,MOTO,1,42,1.0,10,GRAL PAZ,13,"Núñez, Belgrano y Colegiales.",-58.46743471,-34.53476874,MOTO,AUTO,Adulto
2016-0047,2016-04-15,2016,4,15,PEATON,PEATON,1,41,1.0,5,CALLE,1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",-58.38247061,-34.62571878,PEATON,PASAJEROS,Adulto
2016-0048,2016-04-15,2016,4,15,PEATON,PEATON,0,42,1.0,17,AVENIDA,15,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",-58.44759966,-34.59170240,PEATON,PASAJEROS,Adulto
2016-0049,2016-04-17,2016,4,17,PEATON,MOTO,1,42,1.0,0,AUTOPISTA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.37714647568196,-34.63657525428238,SD,PASAJEROS,Adulto
2016-0050,2016-04-19,2016,4,19,PEATON,PEATON,1,78,1.0,9,AVENIDA,8,"Villa Soldati, Villa Riachuelo y Villa Lugano.",-58.47305463,-34.68550712,PEATON,PASAJEROS,Anciano
2016-0051,2016-04-20,2016,4,20,CONDUCTOR,MOTO,1,36,1.0,4,AVENIDA,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",-58.40623949,-34.65076549,MOTO,CARGAS,Adulto
